Environment,Account,invoice_date,Description,region,Product Name,vendor,Service Name,Usage Type,Team,Sub-Team,Cost Before Uplifts ($)
dev,73759281,01/11/2023,Vertex AI Search and Conversation: Data Index,europe-north1,,GCP,GCP Vertex Ai Search,,Global United Kingdon,Straight Outta Accounts,0
dev,73759281,01/11/2023,Vertex AI Search and Conversation: Data Index,europe-west1,,GCP,GCP Vertex Ai Search,,Global United Kingdon,Straight Outta Accounts,0
dev,73759281,01/11/2023,Vertex AI Search and Conversation: Data Index,europe-west4,,GCP,GCP Vertex Ai Search,,Global United Kingdon,Straight Outta Accounts,0
dev,73759281,01/11/2023,Vertex AI Search: Search API Request Count - Standard,europe-west4,,GCP,GCP Vertex Ai Search,,Global United Kingdon,Straight Outta Accounts,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
dev,64661311,01/11/2023,Amazon Textract 1,us-east-2,Amazon Textract,Amazon,,,Treasury,Treasury Global,0.12
dev,64661311,01/11/2023,Amazon Textract 1,us-east-2,Amazon Textract,Amazon,,,Treasury,Treasury Global,0.16
Innovation,10349524,01/11/2023,Amazon Textract 1,us-east-1,Amazon Textract,Amazon,,,Treasury,Capital Catalysts,0.2
dev,64661311,01/11/2023,Amazon Textract 1,us-east-2,Amazon Textract,Amazon,,,Treasury,Treasury Global,0.25
dev,64661311,01/11/2023,Amazon Textract 1,us-east-2,Amazon Textract,Amazon,,,Treasury,Treasury Global,0.29
