Environment,Account,invoice_date,Description,region,Product Name,vendor,Service Name,Usage Type,Team,Sub-Team,Cost Before Uplifts ($)
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
prod,18466774,01/11/2023,Azure Databricks Reservation - Standard DBU,North Europe::northeurope,,Azure,,Azure Databricks::Reservation,SecuroSave,SecuroSave Lite,0
non-prod,12273010,01/11/2023,Language - Standard Text Records,East US::eastus,,Azure,,Cognitive Services::Language,Global United Kingdon,Straight Outta Accounts,26.05
non-prod,82273336,01/11/2023,Language - Standard Custom Training Unit,West Europe::westeurope,,Azure,,Cognitive Services::Language,Global United Kingdon,Straight Outta Accounts,28.35
non-prod,82273336,01/11/2023,Language - Standard Custom Text Records,West Europe::westeurope,,Azure,,Cognitive Services::Language,Global United Kingdon,Straight Outta Accounts,39.66
non-prod,35462054,01/11/2023,Azure OpenAI - Az-GPT4-8K-Prompt Tokens,East US::eastus,,Azure,,Cognitive Services::Azure OpenAI,United America,Wu-Tang Clan of Cash Flow,70.97
non-prod,12273010,01/11/2023,Azure OpenAI - Az-GPT4-8K-Prompt Tokens,East US 2::eastus2,,Azure,,Cognitive Services::Azure OpenAI,Global United Kingdon,Straight Outta Accounts,79.11
non-prod,47782817,01/11/2023,Azure OpenAI - Az-GPT4-8K-Prompt Tokens,East US::eastus,,Azure,,Cognitive Services::Azure OpenAI,United America,The Budgeters,113.25
non-prod,35462054,01/11/2023,Azure OpenAI - Az-GPT4-8K-Prompt Tokens,West Europe::westeurope,,Azure,,Cognitive Services::Azure OpenAI,United America,Wu-Tang Clan of Cash Flow,121.52
non-prod,66082951,01/11/2023,Azure AI Document Intelligence - S0 - Read Pages,West Europe::westeurope,,Azure,,Azure Applied AI Services::Document Intelligence,AE Tech,Yield Syndicate,138.84
non-prod,66082951,01/11/2023,Azure OpenAI - Az-GPT4-8K-Prompt Tokens,West Europe::westeurope,,Azure,,Cognitive Services::Azure OpenAI,AE Tech,Yield Syndicate,139
non-prod,12273010,01/11/2023,Azure AI Document Intelligence - S0 - Pre-built Pages,East US::eastus,,Azure,,Azure Applied AI Services::Document Intelligence,Global United Kingdon,Straight Outta Accounts,161.46
non-prod,35462054,01/11/2023,Azure OpenAI - Az-GPT4-8K-Prompt Tokens,East US::eastus,,Azure,,Cognitive Services::Azure OpenAI,United America,Wu-Tang Clan of Cash Flow,167.2
non-prod,66082951,01/11/2023,Azure AI Document Intelligence - S0 - Pre-built Pages,West Europe::westeurope,,Azure,,Azure Applied AI Services::Document Intelligence,AE Tech,Yield Syndicate,215.23
non-prod,99457172,01/11/2023,Azure OpenAI - Az-GPT35-Turbo-Instruct-Input Tokens,West Europe::westeurope,,Azure,,Cognitive Services::Azure OpenAI,TE Tech,Risk Regulators,216.08
