Environment,Account,invoice_date,Description,region,Product Name,vendor,Service Name,Usage Type,Team,Sub-Team,Cost Before Uplifts ($)
dev,73759281,01/11/2023,Vertex AI Search and Conversation: Data Index,europe-north1,,GCP,GCP Vertex Ai Search,,Global United Kingdon,Straight Outta Accounts,0
dev,73759281,01/11/2023,Vertex AI Search and Conversation: Data Index,europe-west1,,GCP,GCP Vertex Ai Search,,Global United Kingdon,Straight Outta Accounts,0
dev,73759281,01/11/2023,Vertex AI Search and Conversation: Data Index,europe-west4,,GCP,GCP Vertex Ai Search,,Global United Kingdon,Straight Outta Accounts,0
dev,73759281,01/11/2023,Vertex AI Search: Search API Request Count - Standard,europe-west4,,GCP,GCP Vertex Ai Search,,Global United Kingdon,Straight Outta Accounts,0
dev,73759281,01/11/2023,Intent Detection Query Textual Sentiment Operations for Enterprise Agents,(not set),,GCP,GCP Cloud Dialogflow Api,,Global United Kingdon,Straight Outta Accounts,0.39
prod,71794275,01/11/2023,Intent Detection Text Query Operations for Enterprise Essentials Agents,(not set),,GCP,GCP Cloud Dialogflow Api,,TE Tech,Risk Regulators,0.45
dev,44761933,01/11/2023,Intent Detection Text Query Operations for Enterprise Essentials Agents,(not set),,GCP,GCP Cloud Dialogflow Api,,United America,The Budgeters,1.08
dev,73759281,01/11/2023,Text query operation for interacting with Dialogflow CX agents,europe-west1,,GCP,GCP Cloud Dialogflow Api,,Global United Kingdon,Straight Outta Accounts,1.46
dev,73759281,01/11/2023,Text query operation for interacting with Dialogflow CX agents,europe-west2,,GCP,GCP Cloud Dialogflow Api,,Global United Kingdon,Straight Outta Accounts,1.68
dev,73759281,01/11/2023,Intent Detection Text Query Operations for Enterprise Essentials Agents,(not set),,GCP,GCP Cloud Dialogflow Api,,Global United Kingdon,Straight Outta Accounts,1.82
prod,13131186,01/11/2023,Intent Detection Text Query Operations for Enterprise Essentials Agents,(not set),,GCP,GCP Cloud Dialogflow Api,,TE Tech,Risk Regulators,2
dev,69161030,01/11/2023,Text query operation for interacting with Dialogflow CX agents,europe-west2,,GCP,GCP Cloud Dialogflow Api,,TE Tech,Risk Regulators,2.03
dev,71794275,01/11/2023,Intent Detection Text Query Operations for Enterprise Essentials Agents,(not set),,GCP,GCP Cloud Dialogflow Api,,TE Tech,Risk Regulators,2.26
dev,73997356,01/11/2023,AutoML Content Classification Model Deployment for AutoML Natural Language or Vertex AI,us-central1,,GCP,GCP Cloud Natural Language,,United America,Margin Masters,
dev,59323113,01/11/2023,Cloud Speech-to-Text Audio Length Standard,(not set),,GCP,GCP Cloud Speech Api,,Treasury,Treasury Foundation,14.1
dev,67090511,01/11/2023,Entity Analysis Operations,(not set),,GCP,GCP Cloud Natural Language,,Global United Kingdon,The Ledger League,
dev,67090511,01/11/2023,Sentiment Analysis Operations,(not set),,GCP,GCP Cloud Natural Language,,Global United Kingdon,The Ledger League,
